,House,Type_transaction,Huurprijs,Transactieprijs,Transactieprijs per m²,Aanvaarding,days_on_market,NVM makelaar,Adres,Plaats,Telefoon,E-mail,Oppervlakten_en_inhoud_Woonoppervlakte,Oppervlakten_en_inhoud_Externe bergruimte,Oppervlakten_en_inhoud_Inhoud,Indeling_Aantal kamers,Indeling_Aantal badkamers,Indeling_Badkamervoorz.,Indeling_Aantal woonlagen,Indeling_Voorzieningen,Energie_Verwarming,Energie_Warm water,Energie_C.V. ketel,Onderhoud_Binnen,Onderhoud_Buiten,Bouw_Type,Bouw_Soort,Bouw_Bouwvorm,Bouw_Bouwjaar,Buitenruimte_Ligging,Buitenruimte_Tuin,Bergruimte_Schuur/berging,Garage_Soort garage,Text_house,Servicekosten,VBO makelaar,Bouw_Bouwperiode,Parkeergelegenheid_Soort parkeergelegenheid,VGM makelaar,TAO makelaar,Energie_Energielabel,Energie_Isolatie,Buitenruimte_Totale oppervlakte,Bergruimte_Voorzieningen,prijsverloop_date,LMV makelaar,Oppervlakten_en_inhoud_Gebouwgebonden buitenruimte,Buitenruimte_Achtertuin,Buitenruimte_Achterom,Buitenruimte_Kwaliteit,VvE_checklist_VvE,VvE_checklist_VvE bijdrage,Buitenruimte_Balkon/dakterras,Buitenruimte_Plaats,Oppervlakten_en_inhoud_Overige inpandige ruimte,Garage_Capaciteit,Garage_Voorzieningen,Buitenruimte_Geen tuin,Bergruimte_Isolatie,Parkeergelegenheid_Parkeercapaciteit,Buitenruimte_Voortuin,Garage_Isolatie,Buitenruimte_Zijtuin,Buitenruimte_Patio/atrium
176,"Kloosterstraat 7, 5935 CA Steyl",In verhuur genomen,"€ 725,- p.m.","€ 725,-","€ 10,36",In overleg,45,InterMakelaars,Hogeschoorweg 98,5914 CH  Venlo,077 3067101,venlo@acm-intermakelaars.com,70 m²,7 m²,227 m³,2 kamers (1 slaapkamer),1,"Inloopdouche, Wastafel",1 woonlaag,Tv kabel,C.V.-Ketel,C.V.-Ketel,-,goed,goed,Appartement,Benedenwoning,bestaande bouw,1909,Aan rustige weg en in woonwijk,Achtertuin,Vrijstaand hout,Geen garage,"In Steyl is deze karakteristieke benedenwoning gelegen met eigen tuin. De benedenwoning is recent geheel gemoderniseerd met onder andere een nieuwe keuken, badkamer en toilet en biedt u veel ruimte. 
Op drie minuten fietsafstand is een supermarkt gelegen, het centrum van Tegelen is binnen vijf minuten te bereiken en maar ook het centrum van Venlo ligt op korte afstand. Al met al bent u overal dichtbij. Als u met de auto ergens naar toe wilt gaan is de bereikbaarheid ook uitstekend. Binnen vijf autominuten zijn de op- en afrit van de A73 te bereiken. 
De indeling is als volgt: 
U betreedt de woning via de deur die aan de rechterkant van de achterzijde van het pand is gelegen. U komt dan in een halletje waar aan uw rechterhand de slaapkamer is gelegen. Als u de slaapkamer verlaat is het toilet aan de rechterzijde gelegen. Deze is onlangs opgeknapt en voorzien van een fonteintje. 
Als u weer verder doorloopt komt u in een ruime tussenruimte waar u de badkamer kunt betreden. Deze is ook opgeknapt en is voorzien van een douche en wastafel. 
In de naastgelegen ruimte is de CV-ketel aanwezig en hier zijn tevens de witgoedaansluitingen gelegen. 
Als u doorloopt komt u in de keuken met een gemoderniseerd keukenblok welke is voorzien van een inductiekookplaat en afzuigkap. Aansluitend komt u in de woonkamer waar nog authentieke plafondelementen aanwezig zijn. De woonkamer is ook erg licht en voelt ruimtelijk aan door de hoge plafonds en veel lichtinval. 
De woning beschikt over een zeer royale eigen (berg)kelderruimte. 
Exterieur: 
Er is een eigen tuin aanwezig waar u heerlijk kunt genieten. In de tuin wordt nog een nieuwe tuinberging gerealiseerd. De (achter)tuin wordt gedeeld met de bovenwoning waarbij het voorste gedeelte, direct achter de woning, voor de benedenwoning is en het achterste gedeelte voor de bovenwoning. Zo heeft iedere woning zijn eigen gedeelte. 
Ook is de Maas vlakbij waar u prachtig kunt wandelen en waardoor u snel heerlijk tot rust kunt komen. 
Voorwaarden:
- Aanvaarding op korte termijn;
- Huurduur: minimaal 1 jaar;
- Waarborgsom: minimaal één maandhuur;
- Voorbehoud: goedkeuring eigenaar;
- Neem contact op met ons kantoor voor de gestelde toelatingsnormen.
Heeft u interesse in deze benedenwoning en wilt u meer informatie, dan kunt u te allen tijde contact opnemen met ons kantoor.",-,-,-,Openbaar parkeren,-,-,-,Gedeeltelijk dubbel glas,100 m²,-,-,-,-,100 m² (14.0m diep / 8.0m breed),Ja,Normaal,-,-,-,-,-,-,-,-,-,-,-,-,-,-
177,"Dr. Alfons Ariensstraat 1 a, 7221 CA Steenderen",In verhuur genomen,"€ 725,- p.m.","€ 725,-","€ 9,06",In overleg,23,Boekschoten en Van Lieshout Makelaars,Steenstraat 31,6828 CC  Arnhem,026-3884545,info@bnvlmakelaars.nl,80 m²,-,240 m³,3 kamers (2 slaapkamers),1,"Wasmachineaansluiting, Douche, Wastafel",1 woonlaag,-,C.V.-Ketel,C.V.-Ketel,-,goed,goed,Appartement,Bovenwoning,bestaande bouw,1892,"Aan rustige weg, in woonwijk en vrij uitzicht",Geen tuin,-,Geen garage,"Gelegen in Steenderen ligt dit prachtige appartement in de Dr. Alfons Ariënsstraat. Het appartement heeft een woonoppervlakte van 77 m2 en is gebouwd in 1892.
Buiten wonen in Steenderen. dat kan zeker in deze buurt. Dr. Alfons Ariënsstraat 1-A is gelegen in de buurt Steenderen. 
Indeling:
Entree, hal met meterkast en trapopgang naar de eerste etage.
Eerste etage:
Via de overloop betreed je een ruime hal met toegang tot de woonkamer met open keuken van ca. 30m2.
Badkamer met douche en wastafel, een separaat toilet in de hal en twee slaapkamers van ca.15m2
De woning is redelijk tot goed bereikbaar met veel voorzieningen in de buurt. Gesitueerd op loopafstand van het centrum van Steenderen, loopafstand van een supermarkt. Daarnaast is de dichtstbijzijnde uitvalsweg in de nabije omgeving op 16 minuten rijden.
De woning is geschikt voor een a twee rustige personen.
Inkomenseis minimaal  € 2.100,- per maand
Borg € 1.000,-","€ 125,-",-,-,Openbaar parkeren,-,-,C (einddatum: 13-12-2030),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
178,"Weerdjesstraat 10 -48, 6811 JE Arnhem",In verhuur genomen,"€ 725,- p.m.","€ 725,-","€ 20,14",Per datum 01-05-2021,34,Level2 Makelaars,Arksteestraat 13,6511 MX  Nijmegen,024-2042020,info@level2makelaars.nl,36 m²,-,95 m³,2 kamers (1 slaapkamer),1,"Wasmachineaansluiting, Toilet, Douche, Wastafel",1 woonlaag,"Mechanische ventilatie, tv kabel, lift en zonnepanelen",Blokverwarming,Doorstroomboiler,-,uitstekend,uitstekend,Appartement,Portiekflat,bestaande bouw,0,In centrum en vrij uitzicht,Geen tuin,-,Geen garage,"Weerdjesstraat 10 t/m 48 - 6811 JE - ARNHEM
DE LAATSTE 4 APPARTEMENTEN WORDEN MOMENTEEL AANGEBODEN!
-	complex met 45 nieuw gerealiseerde zelfstandige appartementen met ieder een separate slaapkamer in hartje centrum Arnhem
-	de nu beschikbare appartementen hebben een woonoppervlakte tussen 36 m2
-	Huurprijs € 725,- per maand (exclusief stook- en servicekosten, afhankelijk van omvang appartement, gemiddeld € 80,- per maand)
-	Oplevering gepland vanaf 15-04-2021
-       Geen formele inkomenseis, minimale huurperiode 12 maanden
Centraal wonen in Arnhem. Dan zit je perfect op de prachtige Weerdjesstraat, midden in het centrum van de hoofdstad van Gelderland. Momenteel worden de laatste werkzaamheden uitgevoerd aan de afronding van het complex, waarin in totaal 45 woningen zijn gerealiseerd, bestaande uit stadsvilla’s op de begane grond en op de verdiepingen prachtige appartementen, met een grote diversiteit aan oppervlakten. De appartementen zijn gerealiseerd voor starters, young professionals, gepensioneerden, alleenstaanden, al met al voor iedereen. Hier wordt wonen beleven. De meeste appartementen zijn inmiddels verhuurd, momenteel zullen de laatste 4 appartementen worden aangeboden. Het betreft alle studio's, waarbij de slaapkamer middels een laag muurtje van de woonkamer is gescheiden.
LOCATIE
Het complex ligt op een ideale locatie in het westen van het centrum van Arnhem. Alle belangrijke voorzieningen liggen binnen handbereik. Het openbaar vervoer stopt op een steenworp afstand van de woning en daarbij ligt het centraal station op nog geen kilometer afstand. Omdat het appartementencomplex in het centrum ligt zijn natuurlijk verschillende winkels, restaurantjes, supermarkten, kortweg verschillende recreatie- en ontspanningsmogelijkheden om de hoek. 
WONEN WORDT BELEVEN
Deze 45 nieuw gerealiseerde woningen zijn voorzien van alle benodigde luxe. De keuken is voorzien van een koel-vriescombinatie, 4-pits keramische kookplaat, vaatwasser, combi-ovenmagnetron en RVS-afzuigkap. De badkamers zijn voorzien van een luxe douche, wastafel, hangend toilet en een handdoekradiator. Alle wanden zijn ook gestuukt en wit gespoten. Al met al een gebruiksklare woningen met de beschikking tot een aantal gezamenlijke parkeerplaatsen en fietsenstalling. Daarnaast wordt er ook een groot groen gemeubileerd gezamenlijk dakterras gerealiseerd. De woningen worden verwarmd door middel van een collectief verwarmingssysteem en zijn voorzien van een glasvezel- en coaxaansluiting. Daarnaast heeft iedere woning een eigen aansluiting op water en elektra. Al met al een kant en klare woning op een prachtige locatie. Naast de nodige horecagelegenheden in de nabije omgeving is er een groot gezamenlijk dakterras op de 3e verdieping van het complex. 
- Gelegen in het centrum van Arnhem.
- Het openbaar vervoer voor de deur.
- Winkels, restaurants en supermarkten, alles ligt op steenworp afstand.
- Een moderne design afwerking met veel lichtinval.
- Volledig zelfstandige woonruimtes, met eigen luxe keuken en badkamer.
- Gezamenlijk groen dakterras welke gemeubileerd wordt opgeleverd.
- Lift is aanwezig in het complex
- Moderne en complete keuken met de volgende apparatuur; koel- vriescombinatie, vaatwasser, combi-ovenmagnetron, keramische kookplaat en RVS-afzuigkap.
- Luxe badkamers met douche, hangend toilet, handdoekradiator en wastafel.
- Opgeleverd met alle wanden gestuukt en wit gespoten.
BELANGRIJKE DATA:
Vanaf heden kunt u zich aanmelden voor 1 van de georganiseerde kijkmomenten in het complex door middel van een reactie per mail op deze vermelding op Funda. Hierbij zullen de laatste 4 appartementen zijn te bezichtigen en zullen er namens de verhuurder personen aanwezig zijn in het complex om antwoord te verstrekken op alle mogelijke vragen. Indien u een uitnodiging wilt ontvangen voor één van deze bezichtigingsmogelijkheden zien wij uw reactie dan ook graag tegemoet!
Wij zullen bij het inplannen van een afspraak proberen zoveel mogelijk rekening te houden met uw eventuele voorkeuren voor dag en tijd. Bezichtigingen zijn in verband met de huidige regels inzake Covid enkel mogelijk nadat wij een telefoonnummer en mailadres van u hebben ontvangen, zodat wij een sluitende administratie kunnen bijhouden omtrent wie wanneer in het complex aanwezig is geweest. Bij de bevestiging van de bezichtiging zult u tevens uitgebreide documentatie ontvangen met plattegronden, prijslijsten en verdere van belang zijnde documenten.
In verband met de te nemen corona-maatregelen is het noodzakelijk om je van tevoren aan te melden voor de kijkmogelijkheden; gegadigden zullen op een vast tijdstip worden uitgenodigd om de woningen zo gespreid mogelijk te komen bezichtigen. Uiteraard houden wij ons tijdens deze kijkmogelijkheden aan de RIVM-regels!
* WIE HET EERST KOMT WIE HET EERST MAALT. Lever daarom zo spoedig mogelijk na bezichtiging uw inschrijfformulier, personaliaformulier en kopie/foto legitimatiebewijs in.
* Wij streven ernaar, na het inleveren van de volledig ingevulde benodigde gegevens, u binnen 1 werkdag te voorzien van een toewijzing van een woning.
* Beoordeling van de ingeleverde documenten geschiedt door verhuurder
* Er geldt geen formele inkomenseis voor de toewijzing van deze appartementen, wel dienen er inkomstengegevens te worden overhandigd waaruit blijkt dat het inkomen danwel het vermogen voldoende is om de huurbetalingen te kunnen verrichten.
* Vanaf het punt van toewijzing worden alle verdere formaliteiten, waaronder het ondertekenen van de huurovereenkomsten, het verrichten van de eerste huur- en servicekostenbetalingen alsmede de betaling van de eenmalige waarborgsom verder afgewikkeld. 
* Vanaf 15-04-2021 worden de sleuteloverdrachten ingepland.
Deze verhuur wordt in collegiale samenwerking uitgevoerd met mVx Vastgoed Beheer te Nijmegen.","€ 36,-",-,2011-2020,Op eigen terrein,-,-,B (einddatum: 25-11-2030),"Dakisolatie, muurisolatie, vloerisolatie en dubbel glas",-,-,06-04-2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
179,"Houtplein 18 rood A, 2012 DH Haarlem",In verhuur genomen,"€ 725,- p.m.","€ 725,-","€ 20,14",In overleg,11,Cense Makelaars,Haltestraat 16,2042 LM  Zandvoort,023-5715715,info@censemakelaars.nl,36 m²,-,100 m³,2 kamers (1 slaapkamer),-,-,1 woonlaag,Tv kabel,Gaskachels,-,-,goed,goed,Appartement,Studentenkamer,bestaande bouw,1916,-,Geen tuin,-,Geen garage,"Twee gestoffeerde kamers (19 m2 en 17 m2), gescheiden door een gemeenschappelijke gang, gelegen op de 1e etage: 
 
woonkamer met schouw en open keuken (koelkast, oven, 4 pits gascomfoor), gaskachel, kabelaansluiting en een slaapkamer met douche, wastafel, boiler; gezamenlijk gebruik van toilet op de gang door (in totaal) 3 bewoners; dubbel glas.
Huurprijs inclusief servicekosten en voorschotbijdragen gas, water, elektra en kabeltv. 
Ingangsdatum: 		1 april 2021
Contractduur: 		maximaal 2 jaar   
- Deze woonruimte is UITSLUITEND geschikt voor 1 persoon. 
- Geen huisdieren of muziekinstrumenten.
- Huurtermijn: maximaal 2 jaar, bij voorkeur minimaal 1 jaar.
- Internet- en telefoonaansluitings- en gesprekskosten zijn voor rekening huurder
- Minimaal benodigd inkomen € 2.350,00 bruto per maand",-,-,-,"Betaald parkeren, parkeergarage en parkeervergunningen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
180,"Hendrick Avercamplaan 44, 4383 TB Vlissingen",In verhuur genomen,"€ 725,- p.m.","€ 725,-","€ 12,95",In overleg,25,-,Marijkelaan 2 A,4401 GG  Yerseke,0113-573100,info@neeskens.com,56 m²,-,181 m³,3 kamers,-,-,1 woonlaag,Tv kabel en rookkanaal,C.V.-Ketel,C.V.-Ketel,-,redelijk tot goed,redelijk tot goed,Appartement,Portiekflat,bestaande bouw,1956,Aan rustige weg en in woonwijk,Geen tuin,Aangebouwd steen,Geen garage,"TE HUUR!
Bent u op zoek naar een nette huurwoningen in Vlissingen? Kom dan eens kijken aan de Hendrick Avercamplaan in Vlissingen. Neeskens Makelaars biedt u hier een net appartement op de bovenste en derde verdieping met twee slaapkamers, met uitzicht over Vlissingen.
Het appartementencomplex is gelegen in een rustige woonwijk aan de rand van Vlissingen. Aan de voorzijde ligt een plantsoen waardoor u vanuit de woonkamer een vrij uitzicht heeft. 
Benieuwd of dit het appartement is waar u naar op zoekt bent? Maak eens een afspraak voor een bezichtiging.
INDELING
Via een net portaal heeft u middels een trapopgang toegang naar de eerste verdieping. U komt binnen in de hal/entree die toegang biedt naar de woonkamer, twee slaapkamers, het toilet en de keuken. 
De woonkamer is gelegen aan de voorzijde en kijkt uit over de straat. De woonkamer is voorzien van een sfeervolle schouw. 
U vindt een slaapkamer aan de voorzijde van de woning en een slaapkamer aan de achterzijde. De achterste slaapkamer is het ruimste opgesteld en geeft toegang naar de badkamer. De badkamer beschikt over een wastafel en douche. 
De keuken verkeerd in goede staat en is voorzien van een inductiekookplaat, afzuigkap, oven en koelkast. Tevens vindt u in de keuken de aansluiting voor het witgoed.
Vanuit de keuken heeft u toegang naar een balkon aan de achterzijde van het appartement. 
ONDERHOUD
Het appartement verkeerd in een uitstekende staat, alle kamers zijn in september voorzien van nieuw laminaat, heeft rondom kunststof kozijnen en is aan de binnenzijde recent nog gewit. 
HUURPRIJS	
De huurprijs voor de woning bedraagt €725,- p/mnd. De VVE kosten worden betaald door de verhuurder. Het appartement kan op korte termijn worden bewoond.",-,Neeskens Makelaars,-,-,-,-,E (einddatum: 09-12-2025),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
181,"Blauwe Haansteeg 19, 4201 BE Gorinchem",In verhuur genomen,"€ 725,- p.m.","€ 725,-","€ 20,71",In overleg,16,Leuk! Makelaars,Krijtstraat 8,4201 GD  Gorinchem,0183-668811,info@leuk-makelaars.nl,35 m²,-,110 m³,2 kamers (1 slaapkamer),1,"Toilet, Douche, Wastafel",1 woonlaag,Mechanische ventilatie,Elektrische verwarming,Elektrische boiler eigendom,-,uitstekend,goed tot uitstekend,Appartement,Portiekflat,bestaande bouw,0,"Aan park, aan rustige weg en in centrum",Geen tuin,-,Geen garage,"Een heerlijke locatie
Zie jij jezelf al wonen in dit gezellige appartement in het levendige centrum van Gorinchem? Deze woning vind je op de 4e verdieping van het knusse complex. De woonkamer is heerlijk licht en het heeft een open keuken. De keuken is voorzien van diverse inbouwapparatuur zoals koelkast, combi magnetron, vaatwasser en een inductie kookplaat. 
Het appartement heeft één slaapkamer en een luxe betegelde badkamer die is voorzien van een douche, wastafel en toilet. De woning heeft moderne uitstraling door het gebruik van veel zwarte elementen zoals de keuken, de wastafel in de badkamer en de pui tussen het slaap- en woongedeelte.
Hebben wij je interesse al gewekt? Dat is mooi, want de woning is per direct beschikbaar. Om ervoor in aanmerking te komen dien je bruto inkomen te hebben van minimaal € 2.535,- per maand. Je kunt hiervoor 50% van het inkomen van je partner mee rekenen.
Maak snel via ons kantoor een afspraak voor een bezichtiging, we leiden je graag rond.",-,-,2011-2020,"Betaald parkeren, parkeergarage en parkeervergunningen",-,-,-,Dakisolatie en dubbel glas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
182,"Zuidvliet 312, 8921 ET Leeuwarden",In verhuur genomen,"€ 725,- p.m.","€ 725,-","€ 13,43",Per datum 01-05-2021,20,-,Noordvliet 143,8921 GE  Leeuwarden,0582038134,info@suzmakelaars.nl,54 m²,-,167 m³,2 kamers (1 slaapkamer),1,"Toilet, Douche, Wastafel",1 woonlaag,-,C.V.-Ketel,C.V.-Ketel,-,redelijk,redelijk,Appartement,Galerijflat,bestaande bouw,1980,In woonwijk,Geen tuin,Inpandig,Geen garage,"Opzoek naar een leuk huurappartement? Nabij het centrum van Leeuwarden? Nabij andere voorzieningen zoals De Centrale, het Cambuurplein en diverse supermarkten en sportscholen? Dit goed onderhouden appartement is gelegen in een appartementencomplex aan het Zuidvliet. Dat betekent dat veel voorzieningen lopend of op de fiets bereikbaar zijn. 
Het appartement met balkonnetje is gelegen op de 1e verdieping van het complex. Het appartement bestaat uit een woonkamer met balkon, open keuken, badkamer en één slaapkamer. Tevens is er een inpandige (fietsen)berging op de begane grond aanwezig. De vloeren van het appartement zijn voorzien van laminaat. De keuken heeft diverse inbouwapparatuur waaronder een koelkast, oven, elektrische kookplaat en vaatwasser. De badkamer is uitgevoerd met douche, wastafelmeubel en zwevend toilet. 
Entree, hal, vanuit de hal toegang tot de slaapkamer en de woonkamer met open keuken en balkon. Vanuit de keuken is de badkamer bereikbaar. De woonkamer geeft toegang tot het balkon. Het balkon is gelegen op het westen en is circa 4m2. 
Bijzonderheden: 
– Appartement is geschikt voor 2 persoon
– Appartement wordt verhuurd met laminaat, vitrages, vaatwasser en koel-vriescombi
– Geen huisdieren / roken 
– Huurprijs is exl. gas, water en licht
– Huurder dient identiteitsgegevens te overleggen
– Er dient een inkomenssituatie uit arbeid te zijn
– Huurperiode van minimaal 1 jaar
– Borg bedraagt eenmaal de maandhuur
– Te huur per 01-05-2021",-,-,1971-1980,-,-,-,-,Dubbel glas,-,-,-,SUZ Makelaars,-,-,-,-,-,-,Balkon aanwezig,-,-,-,-,-,-,-,-,-,-,-
183,"Bemuurde Weerd O.Z. 44 bg - vz, 3514 AR Utrecht",In verhuur genomen,"€ 725,- p.m.","€ 835,-","€ 37,95",In overleg,17,-,Amsterdamsestraatweg 562,3553 EP  Utrecht,030-2230231,info@domvast.nl,22 m²,-,80 m³,1 kamer (1 slaapkamer),1,"Douche, Wastafel",1 woonlaag,Tv kabel,Blokverwarming,Centrale voorziening,-,goed,goed,Appartement,Bovenwoning,bestaande bouw,1900,"Aan water, in centrum, in woonwijk en aan vaarwater",Geen tuin,-,Geen garage,"Midden in het centrum van Utrecht bevindt zich deze zelfstandige studio (27m2)  aan de Bemuurde Weerd OZ op de begane grond aan de voorzijde. 
Gelegen in het hart van het gezellige centrum van Utrecht met alle voorzieningen in de directe omgeving: winkels, restaurants, uitgaansgelegenheden, Hoog Catharijne, musea enz. Het Centraal Station bevindt zich op vijf minuten fietsafstand, uitvalswegen zijn makkelijk te bereiken. 
Deze leuke studio ligt aan de voorzijde van het appartementencomplex en is voorzien van een geheel eigen badkamer en keuken.
Bijzonderheden:
-	Kale huurprijs € 725,-
-	Kosten gebruikerslasten g/w/e internet en tv € 110,-
-	Inrichting: gestoffeerd
-	Geschikt voor (werkende) alleenstaande
        Gemeenschappelijk gebruik wasmachine
-	Roken en huisdieren niet toegestaan
-	Waarborgsom gelijk aan 2 maanden huur
-	Aanvaarding per direct","€ 110,-",Domvast B.V.,-,Betaald parkeren,-,-,B (einddatum: 16-01-2025),Dubbel glas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
184,"Arnhemseweg 18 C, 3817 CH Amersfoort",In verhuur genomen,"€ 726,- p.m.","€ 726,-","€ 31,57",In overleg,46,Snel ERA makelaars,Hamersveldseweg 49,3833 GL  Leusden,033-4947720,snel@snel-makelaardij.nl,23 m²,-,70 m³,1 kamer,1,"Toilet, Douche",1 woonlaag,Mechanische ventilatie en dakraam,C.V.-Ketel,C.V.-Ketel,-,goed,goed,Appartement,Studentenkamer,bestaande bouw,0,In centrum,Geen tuin,-,Geen garage,"Leuke studio gelegen in het centrum van Amersfoort. Deze kamer is beschikbaar per 1 mei 2021. Verhuur voor onbepaalde tijd waarvan het 1e jaar vast. 
Appartement 18c: Woonoppervlakte van ca. 23m². Huurprijs € 726,00 per maand inclusief servicekosten (€ 139,50).
Indeling appartement: Entree, woon- /slaapkamer, keuken voorzien van diverse inbouwapparatuur. Badkamer met vaste wastafel, toilet en douchecabine.
Hieronder genoemde punten zitten bij de servicekosten in.
 - Belastingen.
 - Internet, tv.
 - Koelkast, wasmachine, wasdroger.
 - Schoonmaken.
 - Stoffering. 
 - Gas-licht-water.
- Huurcontract voor onbepaalde tijd waarvan 1 jaar vast
- 1 maand borg
- Eenmalige administratiekosten van € 125,- door verhuurder berekend
- Deze studio is geschikt voor 1 persoon.","€ 139,50",-,1960-1970,-,-,-,-,Volledig geïsoleerd,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
185,"Raadhuisplein 1 O, 9481 BG Vries",In verhuur genomen,"€ 728,- p.m.","€ 728,-","€ 16,55",In overleg,17,-,Peizerweg 74,9727 AK  Groningen,050-2104242,info@uw-thuis.nl,44 m²,-,110 m³,3 kamers (2 slaapkamers),1,"Wastafelmeubel, Toilet, Douche",1 woonlaag,-,C.V.-Ketel,Elektrische boiler huur,-,uitstekend,uitstekend,Appartement,Portiekflat,nieuwbouw,2021,In centrum,Zonneterras,-,Geen garage,"Appartement 12 vind je op de 1e verdieping. Je komt hier via de trap. Het appartement heeft twee slaapkamers. Op de omloop is ruimte voor een heerlijk zonneterras.
De badkamer en keuken zijn splinternieuw en luxe uitgevoerd.
Bijzonderheden
* Huurperiode 1 jaar, daarna onbepaalde tijd
* Geen huisdieren toegestaan
* Borgsom van 2 maanden huur
* In het hele gebouw verboden te roken
* Kandidaten worden gescreend
* Inkomenseis: je moet ongeveer 3 keer de kale huur, bruto per maand verdienen. (voor een appartement van 750 euro kale huur moet je dus ongeveer 2250 euro bruto per maand verdienen). Eventueel mag er iemand garant voor je staan.","€ 55,-",Thuis Nieuwbouwmakelaars B.V.,2011-2020,Op eigen terrein,-,-,-,-,10 m²,-,-,-,-,-,-,Verzorgd,-,-,-,-,-,-,-,10 m² (2.0m diep / 5.0m breed),-,-,-,-,-,-
186,"Raadhuisplein 1 M, 9481 BG Vries",In verhuur genomen,"€ 728,- p.m.","€ 728,-","€ 14,-",In overleg,17,-,Peizerweg 74,9727 AK  Groningen,050-2104242,info@uw-thuis.nl,52 m²,-,130 m³,2 kamers (1 slaapkamer),1,"Wastafelmeubel, Douche",1 woonlaag,Tv kabel en glasvezel kabel,C.V.-Ketel,Elektrische boiler huur,-,redelijk,redelijk,Appartement,Portiekflat,nieuwbouw,2021,In centrum,Geen tuin,-,Geen garage,"Appartement 15 vind je op de 1e etage. Dit compacte appartement heeft een ruime slaapkamer, een ruime badkamer en een apart toilet. De keuken en de badkamer zijn splinternieuw en luxe uitgevoerd. Dit appartement heeft geen eigen buitenruimte.
Bijzonderheden
* Huurperiode 1 jaar, daarna onbepaalde tijd
* Geen huisdieren toegestaan
* Borgsom van 2 maanden huur
* In het hele gebouw verboden te roken
* Kandidaten worden gescreend
* Inkomenseis: je moet ongeveer 3 keer de kale huur, bruto per maand verdienen. (voor een appartement van 750 euro kale huur moet je dus ongeveer 2250 euro bruto per maand verdienen). Eventueel mag er iemand garant voor je staan.","€ 55,-",Thuis Nieuwbouwmakelaars B.V.,2011-2020,Op eigen terrein,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
187,"Lakenvelderlaan 102, 3772 PE Barneveld",In verhuur genomen,"€ 728,- p.m.","€ 728,-","€ 8,99",In overleg,16,Midden Nederland Makelaars B.V.,Kampstraat 32,3771 AV  Barneveld,0342-423400,barneveld@mnm.nl,81 m²,5 m²,240 m³,3 kamers (2 slaapkamers),-,-,1 woonlaag,"Mechanische ventilatie, tv kabel, lift en schuifpui",C.V.-Ketel en vloerverwarming geheel,C.V.-Ketel,-,uitstekend,uitstekend,Appartement,Portiekflat,bestaande bouw,2016,Aan rustige weg en in woonwijk,Geen tuin,Inpandig,Geen garage,"Te huur 3-KAMER APPARTEMENT MET TERRAS EN EEN BERGING op de begane grond, gelegen in woonwijk Veller, op loopafstand van NS station Barneveld-Zuid. Dit appartement worden verwarmd door middel van vloerverwarming. De wanden zijn voorzien van glasweefselbehang en gesausd. Dit complex is voorzien van een lift en intercominstallatie. Voor het appartementencomplex is parkeergelegenheid aanwezig. 
Indeling: entree, hal met meterkast, bergruimte met CV opstelling en wasmachine aansluiting, toilet met fonteintje, 2 slaapkamers, badkamer voorzien van wastafel, 2e toilet en douchehoek, ruime woonkamer met deur naar terras en open keuken, voorzien van gaskookplaat en afzuigkap.
Huurprijs € 728,00 per maand excl. gas/water/elektra en servicekosten.
Servicekosten € 50,00 per maand
Oplevering: 15 april 2021
Huurtermijn: minimaal 1 jaar.
Borg: 2 maal de maandhuur.
Inkomenseis: min. € 32.750,00 bruto (gezamenlijk) per jaar.
Toetsing BKR, aan te leveren door kandidaat.
Toetsing via NVM Woontoets behoort tot de mogelijkheden.
Huurtoeslag mogelijk (voor de Belastingdienst en proefberekening huurtoeslag dient u 2 x € 12,00 mee te tellen als servicekosten).
Huisdieren zijn niet toegestaan.
Onder voorbehoud van gunning door verhuurder.","€ 50,-",-,-,Openbaar parkeren,-,-,-,Volledig geïsoleerd,-,Voorzien van elektra,-,-,-,-,-,-,-,-,Balkon aanwezig,-,3 m²,-,-,-,-,-,-,-,-,-
